"confl","SELS_mx","nrSELS","pavedkm","unpavedkm","PA_dist","vieh_sum","cattle_sum","pop_sum","set_num","set_area","MB_woody","MB_nat","MB_agri","livestock"
0,"A3",3,8.52,254.17,0.84,1228.22175598145,2185.78489685059,1026.63094772957,1,0.03,653.64,761.32,0.21,3414.00665283204
0,"A3",2,81.78,479.01,48.99,3987.31254577637,3867.29184341431,3429.46720795613,2,3.05,1129.13,275.29,5.31,7854.60438919068
0,"A3",1,69.41,451.56,53.63,20275.4620361328,1175.35223197937,1182.01007220428,2,0.75,2.79,1158.33,78.97,21450.8142681122
0,"C1",1,40.19,0,9.78,2495.89139556885,33090.5662841797,4527.18452665606,7,3.86,56.55,57.46,1288.14,35586.4576797485
0,"A4",2,0,352.69,4.04,5686.10949707031,12103.1091918945,112.871598877013,1,0.19,743.47,36.08,25.03,17789.2186889648
0,"A1",2,80.95,197.94,0,640.017466664314,125.867809951305,1.50418500602245,0,0,253.93,227.78,57.12,765.885276615619
0,"C1",1,0,264.08,34.72,3009.91957092285,43956.1235351562,2107.40668468666,3,1.68,0.5,352.59,1028.71,46966.043106079
0,"C2",3,142.25,653.19,0,175.069519519806,940.03785610199,138780.790828278,1,29.67,637.82,33.46,206.1,1115.1073756218
0,"A3",1,1003.06,746.07,17.78,16929.0810546875,93.6473236083984,21.8319285036996,0,0,0,616.62,102.39,17022.7283782959
0,"C1",1,0,289.52,161.58,4200.22274780273,25798.7046051025,8806.65334796393,2,4.82,793.52,54.13,497.83,29998.9273529052
0,"E1",2,0,11.86,38.52,10901.8215942383,10514.845703125,5859.37961842678,1,2.68,1176.83,203,19.41,21416.6672973633
0,"E1",2,0,38.67,60.47,6812.85330200195,14906.3510742188,252.599254365545,0,0.09,1173.65,35.11,198.99,21719.2043762208
0,"E1",2,0,242.78,117.02,3370.84826660156,14571.8692474365,1242.56593615888,1,0.79,1269.08,25.79,96,17942.7175140381
0,"A4",2,49.63,362.52,46.5,4843.10133361816,22916.0673828125,4851.61304883612,1,2.27,411.27,61.36,922.39,27759.1687164307
0,"C1",1,0,97.76,51.72,9082.26135253906,38829.3544921875,107451.794599522,1,30.8,445.69,308.89,620.68,47911.6158447266
0,"C1",1,40.5,41.3,25.96,16930.5606079102,64834.2053222656,62728.9880949957,4,16.94,595.16,514.54,282.73,81764.7659301758
0,"A3",1,29.28,42.75,43.17,10869.8342285156,735.334566116333,16.0655130445957,0,0.01,113.23,1185.19,32.76,11605.1687946319
0,"A2",2,0,75.44,0,4542.10192871094,380.551097869873,28806.4923205068,1,10.98,85.65,667.22,24.36,4922.65302658081
0,"A3",2,243.36,271.46,71.48,42756.728515625,1022.78714752197,65.1752774557099,0,0.36,6.65,1326.04,33.45,43779.515663147
0,"C1",1,0,298.93,50.92,11099.9884643555,75209.9357910156,40054.845804851,4,13.54,481.63,332.21,578.86,86309.9242553711
0,"A3",2,66.85,171.78,9.78,47478.8701171875,4429.34588623047,92.7366407774389,0,0.03,230.52,1169.16,12.22,51908.216003418
0,"C2",2,66.9,420.73,7.38,12622.5987548828,34947.3369140625,1627.70049278392,0,1.15,1010.84,336.88,53.22,47569.9356689453
0,"C1",1,117.81,433.3,43.98,22059.2274780273,73000.5617675781,456.885826603509,0,0.28,1.01,1318.79,94.87,95059.7892456054
0,"A3",1,1.82,288.39,38.79,30347.9774780273,3811.87225341797,56.7116989372298,0,0.62,2.2,1318.4,30.31,34159.8497314453
0,"A4",2,90.38,679.41,37.21,6235.32391357422,5789.51141357422,61.6020205598325,0,0.1,1315.29,99.79,1.44,12024.8353271484
0,"A3",1,0,373.48,68.05,11727.6509094238,58.5264900922775,3.09008295089006,0,0,506.01,711.5,23.36,11786.1773995161
0,"C1",1,72.04,189.73,23.49,19081.5366821289,73422.1630859375,3681.26049541263,1,1.65,666.43,369.36,362.12,92503.6997680664
0,"B",3,27.88,310.87,4.31,258.375919222832,121.862904548645,12.3433229709044,0,0.11,127.43,1000.03,67.9,380.238823771477
